
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 13:59:35 2019
Timers Off: Sun Dec 29 13:59:39 2019

Wall Time:        4.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.267u      0.000s      0.169w      6 calls
DFH: initialize()                   :      0.967u      0.050s      0.587w      6 calls
DFH: AO Construction                :      0.150u      0.000s      0.096w      6 calls
DFH: AO-Met. Contraction            :      0.050u      0.017s      0.028w      6 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.367u      0.000s      0.219w      3 calls
SAD Guess                           :      0.350u      0.000s      0.207w      1 calls
HF: Form G                          :      0.050u      0.000s      0.024w     32 calls
JK: D                               :      0.000u      0.000s      0.000w     62 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     62 calls
JK: JK                              :      0.100u      0.000s      0.058w     62 calls
DFH: compute_JK()                   :      0.100u      0.000s      0.057w     62 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     62 calls
DFH: compute_J                      :      0.033u      0.000s      0.012w     62 calls
DFH: compute_K                      :      0.067u      0.000s      0.044w     62 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w     62 calls
HF: Form F                          :      0.000u      0.000s      0.000w     32 calls
HF: Form D                          :      0.000u      0.000s      0.000w     32 calls
HF: DIIS                            :      0.017u      0.000s      0.017w     31 calls
DIISManager::add_entry              :      0.000u      0.000s      0.002w     29 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.003w     29 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     29 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     29 calls
New vector                          :      0.000u      0.000s      0.001w     29 calls
HF: Form C                          :      0.000u      0.000s      0.005w     31 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      0.333u      0.000s      0.201w      3 calls
DFMP2 (A|mn)                        :      0.083u      0.000s      0.038w      3 calls
DFMP2 (A|mn)C_mi                    :      0.000u      0.000s      0.000w      3 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.001w      3 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.001w      3 calls
DFMP2 iaQ                           :      0.200u      0.017s      0.137w      3 calls
DFMP2 Metric                        :      0.200u      0.000s      0.126w      3 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.000w      3 calls
DFMP2 (Q|A)(A|ia)                   :      0.000u      0.000s      0.003w      6 calls
DFMP2 Qia Write                     :      0.000u      0.000s      0.001w      3 calls
DFMP2 Qia Read                      :      0.000u      0.000s      0.000w      9 calls
DFMP2 Bia Write                     :      0.000u      0.000s      0.001w      3 calls
DFMP2 aiQ                           :      0.000u      0.000s      0.002w      3 calls
DFMP2 Tij                           :      0.000u      0.017s      0.007w      3 calls
DFMP2 Cia Read                      :      0.000u      0.000s      0.000w      6 calls
DFMP2 I                             :      0.000u      0.000s      0.003w      6 calls
DFMP2 T2                            :      0.000u      0.000s      0.001w      6 calls
DFMP2 G                             :      0.000u      0.000s      0.002w      3 calls
DFMP2 Pab                           :      0.000u      0.000s      0.000w      3 calls
DFMP2 Gia Write                     :      0.000u      0.000s      0.001w      3 calls
DFMP2 Tab                           :      0.000u      0.000s      0.003w      3 calls
DFMP2 Qai Read                      :      0.000u      0.000s      0.000w      6 calls
DFMP2 Pij                           :      0.000u      0.000s      0.000w      3 calls
DFMP2 gamma                         :      0.000u      0.000s      0.003w      3 calls
DFMP2 Gia Read                      :      0.000u      0.000s      0.000w      6 calls
DFMP2 g                             :      0.000u      0.000s      0.001w      3 calls
DFMP2 Gia                           :      0.000u      0.000s      0.004w      3 calls
